,COUNT(session),COUNT(transaction),NUM_UNIQUE(transaction.artist),NUM_UNIQUE(transaction.page),NUM_UNIQUE(transaction.song),MEAN(transaction.length),SUM(transaction.length),MAX(transaction.itemInSession),MAX(transaction.length),MIN(transaction.length),WEEKDAY(first_session_time),WEEKDAY(registrationDate),MEAN(session.COUNT(transaction)),MEAN(session.MAX(transaction.itemInSession)),MEAN(session.MAX(transaction.length)),MEAN(session.MEAN(transaction.length)),MEAN(session.MIN(transaction.length)),MEAN(session.NUM_UNIQUE(transaction.artist)),MEAN(session.NUM_UNIQUE(transaction.page)),MEAN(session.NUM_UNIQUE(transaction.song)),MEAN(session.SUM(transaction.length)),SUM(session.MAX(transaction.itemInSession)),SUM(session.MAX(transaction.length)),SUM(session.MEAN(transaction.length)),SUM(session.MIN(transaction.length)),SUM(session.NUM_UNIQUE(transaction.artist)),MAX(session.COUNT(transaction)),MAX(session.NUM_UNIQUE(transaction.artist)),MAX(session.NUM_UNIQUE(transaction.page)),MAX(session.NUM_UNIQUE(transaction.song)),MAX(session.SUM(transaction.length)),MIN(session.COUNT(transaction)),MIN(session.MAX(transaction.itemInSession)),MIN(session.MAX(transaction.length)),MIN(session.MEAN(transaction.length)),MIN(session.NUM_UNIQUE(transaction.artist)),MIN(session.NUM_UNIQUE(transaction.page)),MIN(session.NUM_UNIQUE(transaction.song)),MIN(session.SUM(transaction.length)),COUNT(transaction WHERE page = Thumbs Down),COUNT(transaction WHERE page = NextSong),COUNT(transaction WHERE page = Error),COUNT(transaction WHERE page = Submit Downgrade),COUNT(transaction WHERE page = Add Friend),COUNT(transaction WHERE page = Home),COUNT(transaction WHERE page = Help),COUNT(transaction WHERE page = About),COUNT(transaction WHERE page = Settings),COUNT(transaction WHERE page = Downgrade),COUNT(transaction WHERE page = Add to Playlist),COUNT(transaction WHERE page = Submit Upgrade),COUNT(transaction WHERE page = Cancellation Confirmation),COUNT(transaction WHERE page = Save Settings),COUNT(transaction WHERE page = Logout),COUNT(transaction WHERE page = Thumbs Up),COUNT(transaction WHERE page = Roll Advert),COUNT(transaction WHERE page = Upgrade),is_cancel,gender_F,gender_M,MODE(session.userAgent)_Linux,MODE(session.userAgent)_Macintosh,MODE(session.userAgent)_Windows,MODE(session.userAgent)_iPad,MODE(session.userAgent)_iPhone,MODE(transaction.page)_About,MODE(transaction.page)_Add Friend,MODE(transaction.page)_Add to Playlist,MODE(transaction.page)_Cancel,MODE(transaction.page)_Help,MODE(transaction.page)_Home,MODE(transaction.page)_Logout,MODE(transaction.page)_NextSong,MODE(transaction.page)_Settings,MODE(session.MODE(transaction.page))_About,MODE(session.MODE(transaction.page))_Add Friend,MODE(session.MODE(transaction.page))_Add to Playlist,MODE(session.MODE(transaction.page))_Cancel,MODE(session.MODE(transaction.page))_Help,MODE(session.MODE(transaction.page))_Home,MODE(session.MODE(transaction.page))_Logout,MODE(session.MODE(transaction.page))_NextSong,MODE(session.MODE(transaction.page))_Settings,positive_transaction_count,negative_transaction_count,neutral_transaction_count
10,5,181,134,9,139,201.75443320441988,36517.55241,66,1356.90404,0.0,0,3,36.2,37.4,711.7997119999999,212.54835904629581,41.116644,28.8,4.4,29.0,7303.510482,187,3558.9985599999995,1062.741795231479,205.58322,144,67,54,6,55,13900.984499999999,4,3,322.24608,172.00120660377357,4,1,4,1007.38432,1.0,141.0,0.0,0.0,5.0,9.0,0.0,0.0,2.0,0.0,7.0,0.0,0.0,0.0,5.0,4.0,7.0,0.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,16.0,1.0,18.0
11,8,624,439,13,498,206.63246578525647,128938.65865000004,236,700.39465,0.0,0,2,78.0,78.25,440.75383250000004,189.1177151096943,0.0,62.875,5.75,64.75,16117.332331249998,626,3526.0306600000004,1512.9417208775544,0.0,503,233,184,10,193,49748.88704999997,6,5,269.03465,160.60385374999998,5,2,5,1010.2573199999999,7.0,517.0,0.0,0.0,20.0,20.0,2.0,2.0,3.0,5.0,15.0,0.0,1.0,0.0,5.0,26.0,0.0,0.0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,61.0,13.0,25.0
12,8,367,253,11,261,184.4548341144414,67694.92412,98,818.80771,0.0,0,2,45.875,46.5,559.66322,184.69728802372654,16.4146375,34.0,5.75,34.125,8461.865515,372,4477.30576,1477.5783041898123,131.3171,272,99,75,9,76,19031.057829999998,5,4,395.72853,150.67862882352944,5,1,5,1168.3242599999999,1.0,270.0,0.0,0.0,7.0,19.0,0.0,0.0,2.0,0.0,7.0,0.0,0.0,2.0,6.0,17.0,35.0,1.0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,32.0,1.0,56.0
13,2,95,64,10,69,163.82537684210527,15563.410800000001,68,386.71628,0.0,0,1,47.5,47.5,360.09750499999996,161.50754935340018,0.0,32.5,7.5,35.0,7781.705399999998,95,720.1950099999999,323.01509870680036,0.0,65,69,48,8,52,11497.354839999996,26,27,333.47873,156.38676769230767,17,7,18,4066.0559599999997,0.0,68.0,1.0,0.0,2.0,6.0,1.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,4.0,7.0,1.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,11.0,1.0,14.0
14,5,996,636,15,740,209.71101882530098,208872.17474999977,339,2015.79057,0.0,0,2,199.2,205.2,1101.959384,210.82602715158313,0.0,149.4,9.4,158.6,41774.43495,1026,5509.79692,1054.1301357579157,0.0,747,335,258,13,275,71199.46008000003,38,37,435.69587,200.39802961832055,31,5,32,8067.512489999998,7.0,810.0,0.0,0.0,16.0,46.0,5.0,1.0,9.0,7.0,21.0,1.0,0.0,4.0,13.0,42.0,10.0,4.0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,83.0,14.0,66.0
15,15,1199,783,15,932,209.71120838198496,251443.73884999997,219,1316.51873,0.0,0,4,79.93333333333334,80.53333333333333,616.3604713333333,203.02799554316837,0.0,65.13333333333334,7.066666666666666,67.13333333333334,16762.915923333334,1208,9245.40707,3045.4199331475256,0.0,977,216,174,11,182,45137.419530000014,16,16,441.02485,161.55397437499997,12,4,12,2584.8635899999995,9.0,1001.0,0.0,0.0,22.0,39.0,4.0,3.0,10.0,12.0,29.0,1.0,0.0,1.0,10.0,52.0,3.0,3.0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,106.0,21.0,55.0
16,5,233,166,12,173,193.50029291845496,45085.568250000004,114,655.77751,0.0,0,1,46.6,47.2,431.020046,156.31482544734897,0.0,35.4,5.6,35.8,9017.11365,236,2155.10023,781.5741272367449,0.0,177,109,87,11,88,21909.641279999993,1,1,0.0,0.0,1,1,1,0.0,3.0,178.0,0.0,0.0,2.0,10.0,1.0,0.0,4.0,0.0,8.0,0.0,0.0,1.0,4.0,10.0,10.0,2.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,22.0,3.0,24.0
17,4,200,162,10,164,202.53166805000004,40506.33361000001,95,578.08934,0.0,0,5,50.0,49.75,422.70648500000004,202.4096664332928,0.0,42.5,5.25,42.75,10126.5834025,199,1690.8259400000002,809.6386657331713,0.0,170,93,72,10,73,16890.457309999998,16,15,339.30404,176.74578249999996,13,3,13,2827.9325199999994,2.0,168.0,0.0,0.0,0.0,3.0,3.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0,5.0,13.0,2.0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,9.0,2.0,17.0
18,3,275,197,14,207,181.11599665454534,49806.89907999997,138,576.83546,0.0,0,2,91.66666666666667,93.33333333333333,462.8109733333334,180.56453518262626,0.0,69.0,7.666666666666667,70.66666666666667,16602.299693333334,280,1388.4329200000002,541.6936055478787,0.0,207,132,96,10,99,24372.25271999999,18,17,375.19628,168.36636712121216,15,4,15,3210.2859000000003,2.0,210.0,1.0,1.0,6.0,9.0,3.0,0.0,2.0,3.0,9.0,0.0,0.0,0.0,3.0,12.0,10.0,4.0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,31.0,6.0,21.0
19,1,1,1,1,1,0.0,0.0,0,0.0,0.0,0,2,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0,0.0,0.0,0.0,1,1,1,1,1,0.0,1,0,0.0,0.0,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,1.0
20,12,938,591,16,689,200.83122431769735,188379.68841000012,364,898.53342,0.0,0,4,78.16666666666667,80.0,612.0332891666666,197.80930192148597,0.0,59.333333333333336,6.25,62.166666666666664,15698.307367500005,960,7344.399469999999,2373.7116230578317,0.0,712,358,278,12,297,73411.07435000008,3,2,313.39057,169.76268740740744,3,2,3,609.20073,7.0,752.0,0.0,1.0,19.0,43.0,3.0,3.0,7.0,8.0,24.0,1.0,0.0,2.0,16.0,32.0,19.0,1.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,76.0,15.0,72.0
21,8,623,436,14,496,203.0635927768859,126508.61829999993,198,1258.05669,0.0,0,3,77.875,79.375,573.66485375,187.07789625668775,0.0,63.125,7.625,64.75,15813.5772875,635,4589.31883,1496.623170053502,0.0,505,197,166,11,174,44461.71330000002,10,9,289.59302,114.62009333333333,9,3,9,1772.19557,4.0,516.0,0.0,1.0,11.0,25.0,1.0,0.0,2.0,7.0,12.0,1.0,0.0,0.0,9.0,26.0,7.0,1.0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,50.0,11.0,34.0
22,9,400,272,11,302,194.48957080000002,77795.82832000002,213,655.77751,0.0,0,6,44.44444444444444,45.55555555555556,502.08753,195.41210102522126,0.0,34.44444444444444,5.111111111111111,35.44444444444444,8643.980924444444,410,4518.78777,1758.7089092269914,0.0,310,201,146,10,153,38449.32686999999,2,1,347.74159,163.15505375,2,2,2,347.74159,2.0,314.0,0.0,0.0,7.0,20.0,0.0,3.0,5.0,0.0,7.0,0.0,0.0,1.0,8.0,8.0,25.0,0.0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,22.0,2.0,53.0
23,5,398,301,12,328,214.51171939698517,85375.6643200001,215,2594.87302,0.0,0,1,79.6,80.8,897.2534240000001,188.97269632113822,0.0,64.0,6.4,67.0,17075.132864000003,404,4486.26712,944.863481605691,0.0,320,210,162,12,172,45679.40993000001,5,4,253.67465,96.81484,3,4,3,484.0742,2.0,337.0,0.0,0.0,3.0,13.0,0.0,1.0,0.0,2.0,9.0,1.0,0.0,0.0,6.0,17.0,5.0,2.0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,31.0,4.0,19.0
24,7,454,302,11,335,198.47324599118951,90106.85368000004,121,1670.45179,0.0,0,2,64.85714285714286,65.28571428571429,777.8738314285713,198.53646520276237,0.0,49.285714285714285,7.714285714285714,50.0,12872.40766857143,457,5445.116819999999,1389.7552564193365,0.0,345,118,88,11,90,22948.086549999996,30,29,423.8624,144.29838,18,5,20,4328.9514,4.0,346.0,0.0,0.0,13.0,17.0,6.0,0.0,1.0,0.0,9.0,0.0,0.0,0.0,5.0,15.0,34.0,4.0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,41.0,4.0,52.0
25,1,4,4,1,4,228.6297475,914.51899,3,269.63546,178.49424,0,5,4.0,3.0,269.63546,228.6297475,178.49424,4.0,1.0,4.0,914.51899,3,269.63546,228.6297475,178.49424,4,4,4,1,4,914.51899,4,3,269.63546,228.6297475,4,1,4,914.51899,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0.0,0.0,0.0
26,6,217,147,12,153,169.78897788018426,36844.20819999999,89,655.77751,0.0,0,2,36.166666666666664,37.5,447.5990033333333,151.97927625576324,0.0,25.833333333333332,5.333333333333333,26.333333333333332,6140.701366666667,225,2685.59402,911.8756575345794,0.0,155,88,62,9,64,15047.703700000002,3,2,216.60689,72.20229666666667,2,2,2,216.60689,1.0,153.0,0.0,0.0,4.0,14.0,1.0,1.0,3.0,0.0,8.0,0.0,0.0,0.0,6.0,8.0,16.0,2.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,22.0,1.0,34.0
27,13,544,363,12,403,196.0471360110294,106649.64199,104,1400.2673,0.0,0,1,41.84615384615385,42.46153846153846,531.3743661538462,189.62496748557393,0.0,33.0,5.076923076923077,33.30769230769231,8203.818614615386,552,6907.86676,2465.124577312461,0.0,429,97,78,7,79,20000.643369999998,8,7,348.94322,140.25322923076925,6,2,6,1269.78385,2.0,426.0,0.0,0.0,6.0,29.0,1.0,1.0,1.0,0.0,12.0,0.0,0.0,0.0,7.0,21.0,37.0,1.0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,40.0,2.0,68.0
28,4,126,93,12,94,177.13516277777774,22319.030509999993,59,570.80118,0.0,0,3,31.5,31.0,391.0395475,173.6583760716374,0.0,24.25,6.0,24.25,5579.757627499999,124,1564.15819,694.6335042865496,0.0,97,60,50,8,50,12139.079839999999,10,9,306.88608,143.84296684210523,9,3,9,1948.2347399999999,2.0,93.0,0.0,0.0,4.0,4.0,0.0,0.0,2.0,0.0,4.0,0.0,1.0,1.0,1.0,4.0,9.0,0.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,12.0,3.0,15.0
29,5,986,674,11,791,217.2527855578094,214211.24656000006,420,1485.97506,0.0,0,3,197.2,200.4,816.033506,209.7222232180906,0.0,155.8,8.2,166.0,42842.249311999985,1002,4080.16753,1048.611116090453,0.0,779,415,323,10,350,91738.40184999994,21,22,342.7522,181.73102285714288,18,4,18,3816.3514800000003,9.0,848.0,1.0,0.0,6.0,32.0,0.0,2.0,7.0,11.0,16.0,0.0,0.0,0.0,9.0,45.0,0.0,0.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,67.0,21.0,41.0
30,9,470,327,14,361,194.8384863404255,91574.08857999998,139,978.442,0.0,0,4,52.22222222222222,52.77777777777778,473.3383222222222,186.13051085372635,0.0,39.888888888888886,5.444444444444445,41.666666666666664,10174.89873111111,475,4260.0449,1675.174597683537,0.0,359,133,97,11,102,26748.949220000002,7,6,278.282,139.09462727272728,6,3,6,1217.6957,5.0,370.0,1.0,0.0,8.0,16.0,4.0,1.0,1.0,0.0,8.0,1.0,0.0,0.0,5.0,24.0,25.0,1.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,41.0,6.0,43.0
31,2,568,393,15,433,199.64923496478858,113400.76545999991,558,1278.22322,0.0,0,5,284.0,287.5,811.25832,186.29321914343427,0.0,199.0,10.0,218.0,56700.382729999954,575,1622.51664,372.58643828686854,0.0,398,550,384,15,422,110304.16402999991,18,17,344.29342,172.03341277777778,14,5,14,3096.60143,6.0,458.0,0.0,0.0,12.0,24.0,1.0,1.0,6.0,6.0,15.0,1.0,0.0,2.0,5.0,27.0,1.0,3.0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,57.0,12.0,32.0
32,5,442,329,12,363,217.73412918552035,96238.48509999999,165,1592.00608,0.0,0,5,88.4,90.8,807.151874,239.2708022949867,0.0,72.4,7.0,75.4,19247.697020000003,454,4035.75937,1196.3540114749335,0.0,362,155,126,10,133,33413.00791,17,16,506.3571,197.71545809090915,17,2,17,5558.37969,3.0,374.0,0.0,0.0,10.0,13.0,3.0,3.0,1.0,2.0,4.0,0.0,0.0,0.0,5.0,22.0,2.0,0.0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,36.0,5.0,19.0
33,6,374,269,12,284,186.7559519786096,69846.72604,117,745.74322,0.0,0,6,62.333333333333336,63.5,495.98213166666665,189.61828411770014,0.0,47.666666666666664,7.166666666666667,49.0,11641.121006666668,381,2975.89279,1137.709704706201,0.0,286,114,83,10,89,21705.468190000003,29,28,347.92444,172.8001138888889,24,5,24,5677.39038,2.0,289.0,0.0,0.0,3.0,20.0,3.0,0.0,2.0,0.0,9.0,1.0,0.0,0.0,6.0,16.0,19.0,4.0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,32.0,2.0,41.0
34,15,397,284,12,306,199.38360788413098,79155.29233,110,1058.89914,0.0,0,2,26.466666666666665,26.866666666666667,408.18899466666664,165.6130165449876,19.905276,21.733333333333334,4.066666666666666,21.866666666666667,5277.019488666667,403,6122.834919999999,2484.195248174814,298.57914,326,104,87,8,88,22875.545840000002,1,0,0.0,0.0,1,1,1,0.0,3.0,315.0,1.0,0.0,11.0,20.0,0.0,0.0,1.0,0.0,8.0,0.0,0.0,1.0,7.0,5.0,23.0,2.0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,26.0,4.0,44.0
35,4,147,111,9,114,195.06965204081624,28675.238849999987,74,655.77751,0.0,0,4,36.75,40.0,469.30893749999996,158.935860023365,0.0,29.0,5.0,29.5,7168.8097124999995,160,1877.2357499999998,635.74344009346,0.0,116,71,57,7,58,14395.845929999998,3,4,178.65098,59.55032666666667,2,3,2,178.65098,1.0,116.0,0.0,0.0,1.0,11.0,0.0,0.0,1.0,1.0,4.0,0.0,0.0,0.0,6.0,6.0,0.0,0.0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,11.0,2.0,12.0
